Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
310,Rob Refsnyder,33,BOS,AL,76,51,36,495.1,122,116,2,4,0,.967,3,7,-4,-10,2.14,2.27,1.55,2.24,,,,,,,79HD,,refsnro01
311,Leo Jiménez,23,TOR,AL,61,55,47,490.1,204,78,122,4,29,.980,1,1,2,5,3.67,3.79,3.13,3.74,,,,,,,64/HD,,jimenle01
312,Addison Barger,24,TOR,AL,63,55,36,485.1,138,82,49,7,7,.949,-4,-11,3,7,2.43,2.38,1.87,2.34,,,,,,,59H7/D,,bargead01
313,Trent Grisham,27,NYY,AL,69,52,44,485.1,146,141,3,2,2,.986,3,8,0,0,2.67,2.27,2.09,2.24,,,,,,,8H/D,,grishtr01
314,Miguel Vargas,24,2TM,2LG,65,57,40,484.0,126,58,63,5,10,.960,-5,-13,-2,-5,2.25,2.38,1.86,2.42,,,,,,,57/HD3,,vargami01
314,Miguel Vargas,24,LAD,NL,28,20,5,166.0,34,30,3,1,1,.971,-2,-17,0,0,1.79,2.21,1.18,2.40,,,,,,,7/H3,,vargami01
314,Miguel Vargas,24,CHW,AL,37,37,35,318.0,92,28,60,4,9,.957,-3,-11,-2,-8,2.49,2.47,2.38,2.43,,,,,,,5/D7H,,vargami01
315,Enmanuel Valdéz,25,BOS,AL,68,57,33,479.1,217,71,140,6,23,.972,-4,-11,-5,-13,3.96,3.93,3.06,3.82,,,,,,,4H/D57,,valdeen01
316,Jackson Holliday,20,BAL,AL,59,53,49,474.2,211,80,128,3,30,.986,-6,-14,-3,-8,3.94,3.96,3.53,3.90,,,,,,,4/H6D,,hollija01
317,Iván Herrera,24,STL,NL,56,52,47,469.2,496,476,17,3,2,.994,-6,-15,-7,-18,9.45,9.06,8.80,8.94,1,15,55,4,6.8,0,2D/H,,herreiv01
318,Noelvi Marté,22,CIN,NL,55,53,50,469.1,130,45,73,12,6,.908,-4,-11,-8,-20,2.26,2.55,2.11,2.54,,,,,,,5D/H4,,marteno01
319,Garrett Mitchell,25,MIL,NL,60,51,37,456.2,122,119,3,0,0,1.000,3,7,6,16,2.40,2.21,2.03,2.18,,,,,,,89H/D,,mitchga01
320,Tyler Soderstrom,22,OAK,AL,59,53,42,455.0,404,377,24,3,47,.993,2,4,-3,-8,7.93,8.04,6.68,7.94,0,0,1,0,0.0,0,3/H2,,soderty01
321,Andy Ibáñez,31,DET,AL,85,45,24,453.2,255,147,106,2,32,.992,4,11,8,21,5.02,4.42,2.75,4.27,,,,,,,H453/7D6,,ibanean01
322,Cristian Pache,25,3TM,2LG,78,47,29,451.2,123,117,3,3,0,.976,1,3,3,8,2.39,2.21,1.54,2.18,,,,,,,8H7/9D,,pachecr01
322,Cristian Pache,25,2TM,NL,76,47,29,447.2,123,117,3,3,0,.976,1,3,3,8,2.41,2.21,1.58,2.18,,,,,,,8H7/D9,,pachecr01
322,Cristian Pache,25,PHI,NL,45,30,18,282.2,73,69,2,2,0,.973,4,17,4,17,2.26,2.21,1.58,2.18,,,,,,,87H/D9,,pachecr01
322,Cristian Pache,25,BAL,AL,2,0,0,4.0,0,0,0,0,0,,0,0,0,0,0.00,2.25,0.00,2.25,,,,,,,/9H,,pachecr01
322,Cristian Pache,25,MIA,NL,31,17,11,165.0,50,48,1,1,0,.980,-3,-20,-1,-7,2.67,2.21,1.58,2.18,,,,,,,8/HD,,pachecr01
323,David Peralta,36,SDP,NL,65,53,27,448.0,89,87,1,1,0,.989,0,-1,-1,-3,1.77,2.21,1.35,2.18,,,,,,,9HD7,,peralda01
324,Nick Senzel,29,2TM,2LG,54,52,45,446.1,143,35,102,6,8,.958,-4,-10,-11,-30,2.76,2.53,2.54,2.50,,,,,,,5D/H9,,senzeni01
324,Nick Senzel,29,WSN,NL,47,45,39,388.1,128,28,95,5,8,.961,-1,-3,-8,-25,2.85,2.55,2.62,2.51,,,,,,,5D/H,,senzeni01
324,Nick Senzel,29,CHW,AL,7,7,6,58.0,15,7,7,1,0,.933,-3,-56,-3,-62,2.17,2.44,2.00,2.40,,,,,,,/5D9H,,senzeni01
325,Jordan Beck,23,COL,NL,54,50,45,444.1,100,96,3,1,1,.990,3,7,1,3,2.01,2.21,1.83,2.18,,,,,,,79/8H,,beckjo01
326,Luis Guillorme,29,3TM,2LG,75,45,34,441.1,186,68,116,2,29,.989,6,17,2,5,3.75,3.67,2.36,3.57,,,,,,,45H/61D,,guilllu01
326,Luis Guillorme,29,2TM,NL,25,16,11,150.0,67,22,45,0,10,1.000,5,37,2,16,4.02,4.10,2.58,3.91,,,,,,,4/H156D,,guilllu01
326,Luis Guillorme,29,ATL,NL,9,6,3,54.0,24,7,17,0,3,1.000,2,53,0,0,4.00,4.07,2.67,3.74,,,,,,,/416H,,guilllu01
326,Luis Guillorme,29,LAA,AL,50,29,23,291.1,119,46,71,2,19,.983,2,7,0,0,3.61,3.45,2.25,3.39,,,,,,,45/H61D,,guilllu01
326,Luis Guillorme,29,ARI,NL,16,10,8,96.0,43,15,28,0,7,1.000,2,28,2,25,4.03,4.12,2.53,3.99,,,,,,,4/H5D,,guilllu01
327,Willson Contreras,32,STL,NL,51,50,48,431.2,383,359,21,3,1,.992,-1,-3,0,0,7.92,9.06,7.45,8.94,4,13,37,11,22.9,1,2D/H,,contrwi01
328,Joey Meneses,32,WSN,NL,50,49,46,431.2,387,358,29,0,39,1.000,0,1,0,0,8.07,8.29,7.74,8.18,,,,,,,3D/H,,menesjo01
329,Trevor Larnach,27,MIN,AL,57,52,27,429.0,91,91,0,0,0,1.000,1,4,0,0,1.91,2.27,1.60,2.24,,,,,,,7D9H,,larnatr01
330,Garrett Stubbs,31,PHI,NL,55,47,44,428.1,435,417,16,2,2,.995,0,0,-2,-6,9.10,8.99,7.73,8.40,3,14,35,10,22.2,0,2/1H,,stubbga01
331,Ronald Acuña Jr.,26,ATL,NL,48,48,47,428.0,102,98,2,2,0,.980,-3,-8,-7,-20,2.10,2.21,2.08,2.18,,,,,,,9,,acunaro01
332,Elehuris Montero,25,COL,NL,54,49,43,426.0,477,453,21,3,47,.994,-4,-10,-3,-8,10.01,8.29,8.78,8.18,,,,,,,3D/H,,monteel01
333,Matt Wallner,26,MIN,AL,58,49,33,425.1,113,109,4,0,1,1.000,-1,-4,0,0,2.39,2.27,1.95,2.22,,,,,,,97DH/1,,wallnma01
334,Anthony Rendon,34,LAA,AL,50,49,46,423.0,127,35,87,5,9,.961,-5,-14,2,6,2.60,2.47,2.44,2.44,,,,,,,5/D,,rendoan01
335,Donovan Solano,36,SDP,NL,57,46,39,421.1,207,148,58,1,20,.995,-1,-4,0,0,4.40,4.84,3.49,5.04,,,,,,,5DH3/4,,solando01
336,Kyle Stowers,26,2TM,2LG,59,48,26,421.1,117,114,3,0,0,1.000,0,-1,-1,-3,2.50,2.22,1.98,2.19,,,,,,,79H8/D,,stoweky01
336,Kyle Stowers,26,BAL,AL,12,7,2,63.1,16,16,0,0,0,1.000,-1,-21,0,0,2.27,2.27,1.33,2.24,,,,,,,/97HD,,stoweky01
336,Kyle Stowers,26,MIA,NL,47,41,24,358.0,101,98,3,0,0,1.000,1,2,-1,-3,2.54,2.21,2.15,2.18,,,,,,,78/9H,,stoweky01
337,Yordan Alvarez,27,HOU,AL,53,53,23,421.0,75,71,3,1,0,.987,-3,-7,-5,-14,1.58,2.27,1.40,2.24,,,,,,,D7,ASMVP-9,alvaryo01
338,Dominic Canzone,26,SEA,AL,61,50,36,420.2,100,100,0,0,0,1.000,3,8,1,3,2.14,2.27,1.64,2.24,,,,,,,97H/D,,canzodo01
339,Royce Lewis,25,MIN,AL,52,50,44,419.2,132,42,83,7,7,.947,-1,-3,-2,-6,2.68,2.50,2.36,2.49,,,,,,,5D/H4,,lewisro02
340,Jhonkensy Noel,22,CLE,AL,60,46,36,417.0,134,127,7,0,2,1.000,6,17,3,9,2.89,2.81,2.09,3.04,,,,,,,9H/3D7,,noeljh01
341,Austin Slater,31,3TM,2LG,75,46,18,414.1,96,91,3,2,0,.979,-2,-6,0,0,2.04,2.23,1.25,2.20,,,,,,,9H78/D,,slateau01
341,Austin Slater,31,2TM,NL,46,29,12,260.0,59,55,2,2,0,.966,-2,-11,-2,-9,1.97,2.21,1.24,2.18,,,,,,,9H7/8D,,slateau01
341,Austin Slater,31,SFG,NL,39,23,7,210.0,43,40,2,1,0,.977,-4,-23,-1,-6,1.80,2.21,1.08,2.18,,,,,,,9H/78D,,slateau01
341,Austin Slater,31,CIN,NL,7,6,5,50.0,16,15,0,1,0,.938,2,41,-1,-24,2.70,2.21,2.14,2.19,,,,,,,/87H9D,,slateau01
341,Austin Slater,31,BAL,AL,29,17,6,154.1,37,36,1,0,0,1.000,0,3,2,16,2.16,2.27,1.28,2.24,,,,,,,79H/8,,slateau01
342,David Fry,28,CLE,AL,58,46,31,414.0,281,265,14,2,8,.993,-3,-8,-4,-12,6.07,6.48,4.16,6.28,0,7,7,0,0.0,0,DH237/59,AS,fryda01
343,Hunter Goodman,24,COL,NL,57,47,27,411.0,215,205,8,2,5,.991,-4,-11,-4,-12,4.66,5.50,3.55,5.17,3,9,20,2,9.1,0,92DH/73,,goodmhu01
344,Romy González,27,BOS,AL,85,40,17,407.2,216,133,78,5,18,.977,-5,-15,0,0,4.66,4.45,2.18,4.31,,,,,,,H4635/97D8,,gonzaro01
345,Alex Jackson,28,TBR,AL,58,46,30,407.0,468,444,18,6,2,.987,1,3,2,6,10.22,9.16,7.97,9.03,4,8,28,11,28.2,0,2/H,,jacksal02
346,Christian Yelich,32,MIL,NL,48,47,44,402.1,79,75,3,1,1,.987,0,-1,-5,-15,1.74,2.21,1.63,2.18,,,,,,,7D,AS,yelicch01
347,Wilmer Flores,32,SFG,NL,57,44,39,400.1,416,377,36,3,41,.993,-2,-7,-2,-6,9.28,8.09,7.12,7.98,,,,,,,3H/D5,,florewi01
348,Austin Hedges,31,CLE,AL,66,46,30,398.2,441,423,15,3,2,.993,3,9,5,15,9.89,9.12,6.64,8.91,0,9,30,8,21.1,1,2/1,,hedgeau01
349,Juan Yepez,26,WSN,NL,47,45,41,398.1,372,351,19,2,43,.995,-4,-11,-2,-6,8.36,8.29,7.87,8.18,,,,,,,3D/H,,yepezju01
350,Jonah Bride,28,MIA,NL,51,45,37,397.2,283,242,38,3,33,.989,-4,-11,-2,-6,6.34,7.01,5.19,6.59,,,,,,,3D5/4H,,bridejo01
351,Martín Maldonado,37,CHW,AL,48,46,35,388.2,391,378,11,2,0,.995,-5,-15,-7,-22,9.01,9.16,8.10,9.03,3,18,39,3,7.1,0,2,,maldoma01
352,Daz Cameron,27,OAK,AL,58,45,24,384.1,86,83,3,0,0,1.000,-4,-13,-4,-12,2.01,2.27,1.48,2.24,,,,,,,79H8/D,,camerda01
353,Christian Bethancourt,32,2TM,NL,60,42,33,384.1,366,341,20,5,2,.986,2,6,-3,-9,8.45,9.06,6.02,8.94,1,14,28,12,30.0,2,2/DH,,bethach01
353,Christian Bethancourt,32,MIA,NL,36,25,20,230.1,220,206,10,4,2,.982,0,0,-3,-16,8.44,9.06,6.00,8.94,1,8,17,6,26.1,1,2/DH,,bethach01
353,Christian Bethancourt,32,CHC,NL,24,17,13,154.0,146,135,10,1,0,.993,2,16,0,0,8.47,9.06,6.04,8.94,0,6,11,6,35.3,1,2,,bethach01
354,Corey Julks,28,CHW,AL,55,42,31,383.0,82,80,1,1,1,.988,-3,-9,-4,-13,1.90,2.27,1.47,2.24,,,,,,,97H/D8,,julksco01
355,Luke Maile,33,CIN,NL,52,44,31,381.2,421,402,18,1,0,.998,5,16,-5,-16,9.90,8.99,8.08,8.50,3,8,34,15,30.6,1,2/1HD,,mailelu01
356,Tyler Wade,29,SDP,NL,72,38,20,381.2,104,48,53,3,5,.971,-8,-26,-5,-16,2.38,3.01,1.26,2.93,,,,,,,H5467/9D8,,wadety01
357,Randal Grichuk,32,ARI,NL,57,46,20,381.0,98,97,1,0,0,1.000,1,3,3,9,2.31,2.21,1.72,2.18,,,,,,,9DH7,,grichra01
358,Brett Baty,24,NYM,NL,47,43,33,380.0,122,33,87,2,10,.984,1,3,-1,-3,2.84,2.55,2.55,2.51,,,,,,,5/H,,batybr01
359,Victor Scott II,23,STL,NL,52,40,37,376.0,97,95,0,2,0,.979,-4,-14,-1,-3,2.27,2.21,1.83,2.18,,,,,,,8/9H7,,scottvi01
360,Sam Hilliard,30,COL,NL,52,41,35,372.0,82,78,1,3,0,.963,-10,-33,-2,-6,1.91,2.21,1.52,2.18,,,,,,,789/HD,,hillisa01
361,Brooks Lee,23,MIN,AL,47,40,35,371.0,130,48,78,4,9,.969,1,3,1,3,3.06,3.43,2.47,3.40,,,,,,,654/HD,,leebr02
362,Austin Barnes,34,LAD,NL,47,42,38,368.2,383,368,10,5,2,.987,-4,-13,2,7,9.23,9.03,8.04,8.73,1,9,48,5,9.4,0,2/HD4,,barneau01
363,Jordan Walker,22,STL,NL,48,46,22,367.1,67,64,2,1,1,.985,-2,-6,-4,-13,1.62,2.21,1.38,2.18,,,,,,,9/HD,,walkejo02
364,Matt Thaiss,29,LAA,AL,46,41,35,366.2,327,313,10,4,1,.988,0,0,-2,-7,7.93,9.16,7.02,9.03,1,10,23,4,14.8,0,2/DH,,thaisma01
365,José Tena,23,2TM,2LG,43,42,37,365.1,114,30,74,10,20,.912,-2,-7,-2,-7,2.56,2.84,2.31,2.79,,,,,,,5/4DH,,tenajo01
365,José Tena,23,CLE,AL,2,1,0,10.0,3,2,0,1,0,.667,-4,-480,0,0,1.80,2.43,1.00,2.45,,,,,,,/5DH,,tenajo01
365,José Tena,23,WSN,NL,41,41,37,355.1,111,28,74,9,20,.919,2,7,-2,-7,2.58,2.85,2.37,2.80,,,,,,,5/4,,tenajo01
366,Reese McGuire,29,BOS,AL,48,41,34,361.1,397,381,10,6,2,.985,0,0,4,13,9.74,9.16,8.15,9.03,3,10,21,7,25.0,0,2/HD,,mcguire01
367,Gabriel Arias,24,CLE,AL,48,41,30,361.0,146,57,83,6,12,.959,-1,-2,-3,-10,3.49,3.22,2.64,3.33,,,,,,,56/4H38D79,,ariasga01
368,Justin Turner,39,2TM,AL,48,44,24,359.2,295,253,38,4,12,.986,-2,-5,1,3,7.28,7.52,5.94,7.25,,,,,,,D3H/5,,turneju01
368,Justin Turner,39,TOR,AL,17,16,4,118.0,74,61,11,2,2,.973,-1,-10,0,0,5.49,6.52,4.24,6.31,,,,,,,D3/H5,,turneju01
368,Justin Turner,39,SEA,AL,31,28,20,241.2,221,192,27,2,10,.991,-1,-3,1,5,8.16,8.01,6.84,7.75,,,,,,,3D/H5,,turneju01
369,Tomás Nido,30,2TM,NL,48,40,29,359.0,378,357,15,6,2,.984,0,0,-2,-7,9.33,9.06,7.75,8.94,1,7,34,10,22.7,0,2/H,,nidoto01
369,Tomás Nido,30,NYM,NL,32,25,19,230.1,237,222,10,5,1,.979,-1,-5,-2,-10,9.07,9.06,7.25,8.94,0,5,26,6,18.8,0,2/H,,nidoto01
369,Tomás Nido,30,CHC,NL,16,15,10,128.2,141,135,5,1,1,.993,1,9,0,0,9.79,9.07,8.75,8.94,1,2,8,4,33.3,0,2/H,,nidoto01
370,Connor Norby,24,2TM,2LG,41,41,36,359.0,119,45,66,8,8,.933,-4,-13,-4,-13,2.78,2.92,2.64,2.92,,,,,,,54/D,,norbyco01
370,Connor Norby,24,BAL,AL,9,9,5,74.0,18,5,13,0,3,1.000,-1,-8,1,16,2.19,3.96,2.00,3.91,,,,,,,/4,,norbyco01
370,Connor Norby,24,MIA,NL,32,32,31,285.0,101,40,53,8,5,.921,-3,-14,-5,-21,2.94,2.65,2.82,2.65,,,,,,,5/D4,,norbyco01
371,Josh Jung,26,TEX,AL,40,40,39,352.1,97,28,66,3,7,.969,-7,-22,-3,-10,2.40,2.47,2.35,2.44,,,,,,,5/D,,jungjo01
372,Ben Rice,25,NYY,AL,50,41,26,350.0,289,273,14,2,21,.993,0,0,-1,-3,7.38,8.03,5.74,7.94,0,0,0,0,,0,3/H2,,ricebe01
373,Nick Loftin,25,KCR,AL,51,39,28,341.1,160,67,89,4,21,.975,1,4,4,14,4.11,3.67,2.74,3.80,,,,,,,45H/3D71,,loftini01
374,Kerry Carpenter,26,DET,AL,47,39,26,339.2,94,88,5,1,0,.989,-1,-5,1,4,2.46,2.27,1.98,2.24,,,,,,,9DH/7,,carpeke01
375,James Outman,27,LAD,NL,50,37,28,339.2,97,94,2,1,0,.990,-3,-11,-1,-4,2.54,2.21,1.92,2.18,,,,,,,8H/79,,outmaja01
376,Darell Hernaiz,22,OAK,AL,47,39,25,339.0,130,52,75,3,13,.977,-3,-12,-5,-18,3.37,3.00,2.35,2.95,,,,,,,56/H4,,hernada04
377,Junior Caminero,20,TBR,AL,39,39,33,337.1,104,40,58,6,5,.942,-1,-5,-1,-4,2.61,2.65,2.45,2.58,,,,,,,5/D3H,,caminju01
378,Derek Hill,28,3TM,2LG,46,37,23,333.0,100,97,2,1,1,.990,0,1,-4,-14,2.68,2.22,2.15,2.20,,,,,,,87H/9D,,hillde01
378,Derek Hill,28,2TM,NL,33,29,17,257.1,82,81,1,0,1,1.000,3,12,-2,-9,2.87,2.21,2.48,2.18,,,,,,,87/HD,,hillde01
378,Derek Hill,28,TEX,AL,13,8,6,75.2,18,16,1,1,0,.944,-2,-33,-2,-32,2.02,2.27,1.31,2.24,,,,,,,/9H87D,,hillde01
378,Derek Hill,28,SFG,NL,4,4,2,32.0,6,6,0,0,0,1.000,-2,-56,-1,-38,1.69,2.22,1.50,2.18,,,,,,,/78DH,,hillde01
378,Derek Hill,28,MIA,NL,29,25,15,225.1,76,75,1,0,1,1.000,4,21,-1,-5,3.04,2.21,2.62,2.18,,,,,,,87/HD,,hillde01
379,Dairon Blanco,31,KCR,AL,67,34,21,332.1,83,79,1,3,0,.964,-3,-9,-2,-7,2.17,2.27,1.19,2.24,,,,,,,H798D,,blancda02
380,Evan Carter,21,TEX,AL,41,38,29,331.0,77,73,3,1,1,.987,4,14,4,15,2.07,2.27,1.85,2.24,,,,,,,7/9HD8,,carteev01
381,Angel Martínez,22,CLE,AL,39,37,28,331.0,76,66,7,3,0,.961,-7,-25,-1,-4,1.98,2.32,1.87,2.30,,,,,,,87/9H5D4,,martian02
382,Edward Olivares,28,PIT,NL,45,41,18,330.2,79,76,2,1,0,.987,-9,-33,-6,-22,2.12,2.21,1.73,2.18,,,,,,,9/DH7,,olivaed02
383,Jorge Soler,32,ATL,NL,46,46,13,326.0,63,60,2,1,0,.984,-11,-40,-10,-37,1.71,2.21,1.35,2.18,,,,,,,9/7H,,solerjo01
384,Kyle McCann,26,OAK,AL,44,39,30,324.0,304,288,12,4,2,.987,-2,-7,-6,-22,8.33,9.16,6.82,9.03,5,7,34,8,19.0,0,2/HD,,mccanky01
385,Luis Matos,22,SFG,NL,43,33,24,322.1,71,69,1,1,0,.986,-7,-26,0,0,1.95,2.21,1.63,2.18,,,,,,,98/H7D,,matoslu02
386,Curt Casali,35,SFG,NL,41,38,25,321.0,372,345,20,7,0,.981,-7,-26,-1,-4,10.23,9.06,8.90,8.94,1,17,46,9,16.4,0,2,,casalcu01
387,Travis Jankowski,33,TEX,AL,69,30,23,321.0,86,82,1,3,0,.965,11,40,8,30,2.33,2.27,1.20,2.24,,,,,,,9H7D8,,jankotr01
388,Tommy Edman,29,LAD,NL,37,35,29,317.0,122,82,36,4,6,.967,1,3,1,4,3.35,2.87,2.74,2.89,,,,,,,86/H4,,edmanto01
389,Riley Adams,28,WSN,NL,40,36,29,314.1,294,279,10,5,2,.983,-6,-23,-2,-8,8.27,9.06,7.23,8.94,3,18,31,3,8.8,0,2/DH,,adamsri03
390,Blaze Alexander,25,ARI,NL,44,35,29,312.0,128,45,77,6,16,.953,-5,-19,-4,-15,3.52,3.73,2.71,3.67,,,,,,,64D/H5,,alexabl01
391,Andruw Monasterio,27,MIL,NL,51,34,22,312.0,129,51,72,6,19,.953,2,7,0,0,3.55,3.49,2.32,3.67,,,,,,,54H/3D7,,monasan01
392,Danny Mendick,30,CHW,AL,41,35,29,308.2,106,39,64,3,10,.972,1,4,-1,-4,3.00,2.94,2.51,2.91,,,,,,,54H/1D,,mendida01
393,Grant McCray,23,SFG,NL,37,35,33,307.1,89,87,0,2,0,.978,-5,-20,-3,-12,2.55,2.21,2.35,2.18,,,,,,,8,,mccragr01
394,Jung Hoo Lee,25,SFG,NL,37,36,35,306.2,80,79,1,0,0,1.000,-1,-5,-2,-8,2.35,2.21,2.16,2.18,,,,,,,8,,leeju01
395,Luis Torrens,28,NYM,NL,45,34,21,299.1,317,296,20,1,2,.997,7,28,4,16,9.50,9.05,7.02,8.77,3,14,15,13,46.4,1,2/HD1,,torrelu01
396,Pavin Smith,28,ARI,NL,49,34,18,298.1,105,98,7,0,5,1.000,-3,-13,-4,-16,3.17,3.51,2.10,4.20,,,,,,,397H/D1,,smithpa04
397,Trey Sweeney,24,DET,AL,36,33,28,294.0,145,37,104,4,20,.972,3,13,3,12,4.32,3.70,3.92,3.65,,,,,,,6,,sweentr01
398,José Herrera,27,ARI,NL,41,31,22,284.2,323,314,8,1,1,.997,-3,-12,-2,-8,10.18,9.04,7.85,8.78,3,10,28,3,9.7,0,2/H5D,,herrejo04
399,Brooks Baldwin,23,CHW,AL,33,32,32,281.0,117,46,69,2,16,.983,-3,-15,-2,-9,3.68,3.89,3.48,3.84,,,,,,,4/6,,baldwbr01
400,Brett Harris,26,OAK,AL,35,31,28,280.0,82,20,59,3,9,.963,0,1,-4,-17,2.54,2.47,2.26,2.44,,,,,,,5/H,,harribr02
401,José Abreu,37,HOU,AL,35,31,28,275.1,276,254,19,3,24,.989,-4,-15,-2,-9,8.92,8.03,7.80,7.92,,,,,,,3/H,,abreujo02
402,Alex Kirilloff,26,MIN,AL,41,35,13,274.1,98,94,4,0,2,1.000,-1,-3,-4,-17,3.22,4.03,2.33,3.86,,,,,,,7D3/H9,,kirilal01
403,J.D. Davis,31,2TM,AL,37,32,14,274.0,169,141,27,1,18,.994,-7,-30,-2,-9,5.52,6.06,4.00,6.10,,,,,,,35/DH,,davisjd01
403,J.D. Davis,31,OAK,AL,33,28,14,245.0,156,129,26,1,17,.994,-7,-32,-2,-10,5.69,5.83,4.08,5.90,,,,,,,35/DH,,davisjd01
403,J.D. Davis,31,NYY,AL,4,4,0,29.0,13,12,1,0,1,1.000,0,-12,0,0,4.03,8.04,3.25,7.93,,,,,,,/3DH,,davisjd01
404,Dylan Crews,22,WSN,NL,31,31,28,273.2,67,66,1,0,0,1.000,-2,-10,4,18,2.20,2.21,2.16,2.18,,,,,,,9/8,,crewsdy01
405,Henry Davis,24,PIT,NL,34,31,27,271.1,271,260,9,2,3,.993,-1,-4,-4,-18,8.92,9.06,7.91,8.94,3,10,20,5,20.0,0,2/HD,,davishe01
406,Nick Allen,25,OAK,AL,41,30,24,269.1,129,49,74,6,24,.953,2,7,4,18,4.11,3.57,3.00,3.51,,,,,,,6/5H4,,allenni02
407,Curtis Mead,23,TBR,AL,35,32,24,268.1,95,35,56,4,9,.958,-4,-17,-4,-18,3.05,3.44,2.53,3.45,,,,,,,45/DH3,,meadcu01
408,Casey Schmitt,25,SFG,NL,38,29,20,267.0,93,30,60,3,12,.968,-3,-11,-3,-13,3.03,3.68,2.37,3.63,,,,,,,46/5HD,,schmica01
409,Patrick Wisdom,32,CHC,NL,50,30,13,265.0,164,132,27,5,9,.970,0,1,-1,-5,5.40,5.52,2.84,5.26,,,,,,,H35D/9471,,wisdopa01
410,Michael Stefanic,28,LAA,AL,36,31,19,264.1,127,50,77,0,25,1.000,2,9,-1,-5,4.32,3.92,3.43,3.80,,,,,,,4/HD15,,stefami01
411,Christian Encarnacion-Strand,24,CIN,NL,29,29,28,255.0,215,196,19,0,13,1.000,0,-1,-1,-5,7.59,8.29,7.41,8.18,,,,,,,3,,encarch01
412,Luis Urías,27,SEA,AL,38,29,20,249.1,84,27,51,6,7,.929,2,7,0,0,2.82,2.47,2.05,2.44,,,,,,,5/HD,,uriaslu01
413,Tucker Barnhart,33,ARI,NL,31,29,19,249.0,225,214,9,2,1,.991,0,0,-2,-10,8.06,9.03,6.97,8.70,1,7,14,4,22.2,0,2/1H,,barnhtu01
414,Aaron Schunk,26,COL,NL,33,28,23,249.0,109,39,69,1,15,.991,3,13,3,14,3.90,3.53,3.27,3.43,,,,,,,45/H6D,,schunaa01
415,Gary Sánchez,31,MIL,NL,32,28,25,247.1,228,212,11,5,2,.978,-1,-3,-1,-5,8.11,9.02,6.97,8.84,3,7,23,6,20.7,1,D2H/3,,sanchga02
416,Vaughn Grissom,23,BOS,AL,30,28,26,245.0,123,35,85,3,16,.976,4,18,1,5,4.41,3.97,4.00,3.91,,,,,,,4/DH,,grissva01
417,Yan Gomes,36,CHC,NL,34,27,23,244.0,251,245,6,0,0,1.000,-1,-5,-5,-25,9.26,9.06,7.38,8.94,0,13,21,3,12.5,0,2,,gomesya01
418,Ali Sánchez,27,MIA,NL,30,28,24,244.0,253,239,12,2,2,.992,1,5,0,0,9.26,9.06,8.37,8.94,0,6,25,9,26.5,0,2/H,,sanchal04
419,Andrew Knizner,29,TEX,AL,36,28,20,242.0,255,248,5,2,1,.992,-3,-15,-3,-15,9.41,9.06,7.03,8.60,0,10,25,3,10.7,0,2/1D,,kniznan01
420,Alika Williams,25,PIT,NL,34,26,19,240.2,100,38,60,2,9,.980,2,8,-1,-5,3.66,4.01,2.72,3.95,,,,,,,46/H,,willial04
421,Sean Bouchard,28,COL,NL,30,29,19,239.0,55,50,2,3,0,.945,-11,-53,-5,-25,1.96,2.21,1.73,2.18,,,,,,,97/DH,,bouchse01
422,Kody Clemens,28,PHI,NL,40,24,20,239.0,145,105,37,3,10,.979,1,6,2,10,5.35,5.14,3.38,4.75,,,,,,,H35/471D,,clemeko01
423,Alex Call,29,WSN,NL,30,27,23,238.1,77,73,2,2,2,.974,2,10,2,10,2.83,2.21,2.50,2.18,,,,,,,9/87H,,callal02
424,Alek Thomas,24,ARI,NL,35,26,22,237.0,57,57,0,0,0,1.000,-6,-31,-1,-5,2.16,2.21,1.63,2.18,,,,,,,8/HD,,thomaal01
425,Jacob Wilson,22,OAK,AL,27,27,24,236.0,101,32,69,0,16,1.000,-5,-26,-4,-20,3.85,3.70,3.74,3.65,,,,,,,6/H,,wilsoja05
426,Robbie Grossman,34,3TM,AL,38,27,19,231.1,57,55,1,1,0,.982,1,5,-1,-5,2.18,2.27,1.47,2.24,,,,,,,DH79,,grossro01
426,Robbie Grossman,34,CHW,AL,19,18,15,152.0,42,40,1,1,0,.976,-2,-18,-2,-16,2.43,2.27,2.16,2.24,,,,,,,9/H7D,,grossro01
426,Robbie Grossman,34,TEX,AL,17,8,3,69.0,12,12,0,0,0,1.000,3,45,1,17,1.57,2.27,0.71,2.24,,,,,,,DH7/9,,grossro01
426,Robbie Grossman,34,KCR,AL,2,1,1,10.1,3,3,0,0,0,1.000,1,70,0,0,2.61,2.26,1.50,2.25,,,,,,,D/H79,,grossro01
427,Miles Mastrobuoni,28,CHC,NL,38,25,14,230.2,102,31,68,3,10,.971,2,11,1,5,3.86,3.27,2.48,3.20,,,,,,,H546/97D,,mastrmi01
428,Ben Gamel,32,2TM,2LG,35,26,12,230.0,45,45,0,0,0,1.000,3,14,-2,-10,1.76,2.25,1.29,2.21,,,,,,,97/HD,,gamelbe01
428,Ben Gamel,32,NYM,NL,15,8,3,75.0,13,13,0,0,0,1.000,1,8,-1,-16,1.56,2.21,0.87,2.18,,,,,,,9/7HD,,gamelbe01
