Rk,Player,Age,Team,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,RF/9,lgRF9,RF/G,lgRFG,PB,WP,SB,CS,CS%,Pick,Pos,Awards,-9999
20,Bobby Witt Jr.,25,KCR,AL,154,153,143,1340.0,578,186,382,10,74,.983,5,4,3,3,3.81,3.73,3.69,3.68,,,,,,,*6/D,ASMVP-4GGSS,wittbo02
21,Maikel Garcia,25,KCR,AL,155,151,132,1336.2,424,142,274,8,34,.981,10,9,10,9,2.80,2.62,2.43,2.64,,,,,,,*564/8DH9,ASMVP-14GG,garcima01
22,Heliot Ramos,25,SFG,NL,154,153,137,1332.2,298,284,5,9,1,.970,-8,-7,-6,-5,1.95,2.26,1.88,2.22,,,,,,,*7/DH,,ramoshe02
23,Ceddanne Rafaela,24,BOS,AL,155,148,137,1332.1,404,354,42,8,9,.980,7,6,21,19,2.68,2.49,2.40,2.50,,,,,,,*84/H,GG,rafaece01
24,Taylor Ward,31,LAA,AL,153,152,144,1331.2,311,303,4,4,1,.987,-6,-5,-3,-3,2.07,2.28,2.01,2.25,,,,,,,*7/DH,,wardta01
25,Steven Kwan,27,CLE,AL,152,152,141,1329.0,330,309,13,8,2,.976,12,11,22,20,2.18,2.28,2.12,2.25,,,,,,,*7/D8,ASGG,kwanst01
26,Brice Turang,25,MIL,NL,154,150,141,1329.0,609,255,344,10,84,.984,4,3,6,5,4.06,4.11,3.84,4.04,,,,,,,*4/H6,MVP-14,turanbr02
27,Cody Bellinger,29,NYY,AL,151,148,113,1321.2,342,331,8,3,6,.991,9,9,11,10,2.31,2.40,2.17,2.51,,,,,,,*798/3H,MVP-14,bellico01
28,Christian Walker,34,HOU,AL,152,150,140,1316.0,1161,1100,55,6,89,.995,-5,-5,-7,-6,7.90,8.04,7.60,7.93,,,,,,,*3/DH,,walkech02
29,Anthony Volpe,24,NYY,AL,153,147,142,1303.2,516,171,326,19,60,.963,3,3,2,2,3.43,3.73,3.25,3.68,,,,,,,*6/H,,volpean01
30,Fernando Tatis Jr.,26,SDP,NL,153,153,133,1299.0,359,351,5,3,3,.992,29,27,15,14,2.47,2.26,2.33,2.22,,,,,,,*9/D,ASMVP-8GG,tatisfe02
31,TJ Friedl,29,CIN,NL,149,148,141,1295.0,378,371,4,3,0,.992,0,0,-10,-9,2.61,2.26,2.52,2.22,,,,,,,*8/DH,,friedtj01
32,Brandon Nimmo,32,NYM,NL,150,147,138,1283.2,264,258,5,1,2,.996,-9,-9,3,3,1.84,2.26,1.75,2.22,,,,,,,*7/8DH,,nimmobr01
33,Ke'Bryan Hayes,28,2TM,NL,152,144,141,1283.0,396,100,291,5,26,.987,12,11,19,18,2.74,2.52,2.57,2.48,,,,,,,*5/H,GG,hayeske01
33,Ke'Bryan Hayes,28,PIT,NL,100,97,97,861.2,280,66,210,4,22,.986,9,12,16,22,2.88,2.52,2.76,2.48,,,,,,,5/H,,hayeske01
33,Ke'Bryan Hayes,28,CIN,NL,52,47,44,421.1,116,34,81,1,4,.991,4,10,3,9,2.46,2.52,2.21,2.48,,,,,,,5,,hayeske01
34,Mookie Betts,32,LAD,NL,148,148,133,1279.0,483,161,315,7,51,.986,12,11,17,16,3.35,3.74,3.19,3.67,,,,,,,*6/H9,,bettsmo01
35,Jung Hoo Lee,26,SFG,NL,147,144,143,1275.2,325,315,7,3,2,.991,-20,-19,-18,-17,2.27,2.26,2.19,2.22,,,,,,,*8/HD,,leeju01
36,Ian Happ,30,CHC,NL,146,146,136,1274.1,306,300,5,1,0,.997,25,23,9,8,2.15,2.26,2.09,2.22,,,,,,,*7/DH,GG,happia01
37,Spencer Torkelson,25,DET,AL,145,144,140,1272.0,1159,1054,100,5,109,.996,-1,-1,0,0,8.17,8.04,7.96,7.93,,,,,,,*3D/H,,torkesp01
38,Ernie Clement,29,TOR,AL,154,140,101,1265.1,525,214,300,11,60,.979,12,11,22,21,3.66,3.45,2.66,3.52,,,,,,,5463H,,clemeer01
39,Ryan McMahon,30,2TM,2LG,154,143,134,1265.0,415,108,297,10,23,.976,12,11,10,9,2.88,2.50,2.63,2.46,,,,,,,*5/HD,,mcmahry01
39,Ryan McMahon,30,COL,NL,100,94,91,824.0,276,75,195,6,15,.978,6,8,3,4,2.95,2.52,2.70,2.48,,,,,,,5/HD,,mcmahry01
39,Ryan McMahon,30,NYY,AL,54,49,43,441.0,139,33,102,4,8,.971,6,17,7,19,2.76,2.46,2.50,2.43,,,,,,,5/H,,mcmahry01
40,Tyler Soderstrom,23,ATH,AL,153,144,125,1261.2,583,549,29,5,27,.991,11,10,9,9,4.12,4.08,3.68,4.02,,,,,,,73H/D,,soderty01
41,Jackson Holliday,21,BAL,AL,145,142,139,1259.2,545,193,342,10,72,.982,-7,-7,-11,-10,3.82,3.98,3.64,3.93,,,,,,,*4/6DH,,hollija01
42,Junior Caminero,21,TBR,AL,148,146,124,1259.1,329,86,225,18,27,.945,-2,-2,-5,-5,2.22,2.47,2.09,2.47,,,,,,,*5/DH3,ASMVP-9,caminju01
43,Jo Adell,26,LAA,AL,149,143,129,1259.0,344,333,4,7,1,.980,-12,-11,-14,-13,2.41,2.28,2.26,2.25,,,,,,,*89/HD,,adelljo01
44,Manny Machado,32,SDP,NL,145,145,134,1252.2,363,117,230,16,34,.956,-5,-5,3,3,2.49,2.52,2.39,2.48,,,,,,,*5D,ASMVP-16SS,machama01
45,Gunnar Henderson,24,BAL,AL,145,142,134,1249.2,585,206,371,8,76,.986,3,3,-3,-3,4.16,3.73,3.98,3.68,,,,,,,*6/DH,,hendegu01
46,Freddie Freeman,35,LAD,NL,146,145,126,1239.0,1102,1008,91,3,75,.997,-5,-5,-7,-7,7.98,8.23,7.53,8.09,,,,,,,*3/H,ASMVP-13,freemfr01
47,Lawrence Butler,24,ATH,AL,150,140,129,1236.1,372,366,4,2,1,.995,8,8,0,0,2.69,2.28,2.47,2.25,,,,,,,*98H,,butlela01
48,Nathaniel Lowe,29,2TM,2LG,146,139,135,1235.1,1088,1008,73,7,98,.994,-15,-14,-4,-4,7.88,8.19,7.40,8.06,,,,,,,*3/HD,,lowena01
48,Nathaniel Lowe,29,WSN,NL,115,113,112,994.1,882,815,60,7,82,.992,-13,-16,-4,-5,7.92,8.23,7.61,8.09,,,,,,,*3/DH,,lowena01
48,Nathaniel Lowe,29,BOS,AL,31,26,23,241.0,206,193,13,0,16,1.000,-1,-5,0,0,7.69,8.04,6.65,7.93,,,,,,,3/HD,,lowena01
49,CJ Abrams,24,WSN,NL,142,141,133,1224.1,579,205,352,22,72,.962,-11,-11,-6,-6,4.09,3.74,3.92,3.68,,,,,,,*6/HD,,abramcj01
50,Otto Lopez,26,MIA,NL,142,138,131,1222.0,533,199,322,12,55,.977,0,0,13,13,3.84,3.82,3.64,3.76,,,,,,,*64/HD,,lopezot01
51,Corbin Carroll,24,ARI,NL,139,136,131,1218.1,313,303,9,1,3,.997,10,10,8,8,2.30,2.26,2.24,2.22,,,,,,,*9/8DH,ASMVP-6SS,carroco02
52,Joey Ortiz,26,MIL,NL,149,140,118,1217.2,500,166,325,9,67,.982,6,6,-2,-2,3.63,3.74,3.30,3.68,,,,,,,*6/H,,ortizjo06
53,Trea Turner,32,PHI,NL,139,139,132,1216.1,508,159,341,8,55,.984,-5,-5,2,2,3.70,3.74,3.60,3.68,,,,,,,*6/DH,MVP-5,turnetr01
54,Matt McLain,25,CIN,NL,142,135,132,1210.2,504,200,297,7,59,.986,0,0,-8,-8,3.69,4.10,3.45,4.03,,,,,,,*4/6HD,,mclaima01
55,Nick Castellanos,33,PHI,NL,143,138,125,1208.1,247,243,4,0,2,1.000,-7,-7,-11,-11,1.84,2.26,1.73,2.22,,,,,,,*9/DH,,casteni01
56,Carlos Correa,30,2TM,AL,143,142,121,1198.2,428,149,267,12,39,.972,-9,-9,-13,-13,3.12,3.29,2.87,3.27,,,,,,,65/H,,correca01
56,Carlos Correa,30,MIN,AL,92,91,76,756.2,303,118,176,9,30,.970,-13,-21,-11,-17,3.50,3.73,3.20,3.68,,,,,,,6/H,,correca01
56,Carlos Correa,30,HOU,AL,51,51,45,442.0,125,31,91,3,9,.976,4,11,-2,-5,2.48,2.53,2.30,2.55,,,,,,,5/6,,correca01
57,Bryson Stott,27,PHI,NL,145,132,124,1191.0,569,237,328,4,64,.993,4,4,0,0,4.27,4.08,3.82,4.02,,,,,,,*46H,,stottbr01
58,Sal Frelick,25,MIL,NL,139,136,118,1190.0,309,296,10,3,2,.990,10,10,6,6,2.31,2.27,2.17,2.26,,,,,,,*98/H35,,frelisa01
59,Michael Busch,27,CHC,NL,151,131,116,1185.0,1086,998,84,4,91,.996,4,4,2,2,8.22,8.23,7.17,8.09,,,,,,,*3H/D,MVP-16,buschmi02
60,Xavier Edwards,25,MIA,NL,138,134,126,1174.0,509,159,340,10,63,.980,4,4,9,9,3.83,4.00,3.64,3.94,,,,,,,46/HD,,edwarxa01
61,Luis Rengifo,28,LAA,AL,145,132,110,1174.0,435,135,288,12,59,.972,9,9,0,0,3.24,3.22,2.63,3.12,,,,,,,54H/9768D,,rengilu01
62,Wyatt Langford,23,TEX,AL,133,133,112,1160.2,308,302,4,2,0,.994,6,7,16,17,2.37,2.28,2.30,2.25,,,,,,,*78/H,,langfwy01
63,Jordan Beck,24,COL,NL,139,133,128,1159.1,285,270,12,3,2,.989,-3,-3,1,1,2.19,2.26,2.03,2.22,,,,,,,*7H/D8,,beckjo01
64,J.T. Realmuto,34,PHI,NL,132,132,119,1151.1,1259,1216,37,6,10,.995,9,9,-2,-2,9.79,8.94,9.49,8.79,2,31,71,30,29.7,0,*2/DH,,realmjt01
65,Zach McKinstry,30,DET,AL,141,128,82,1147.2,385,162,211,12,34,.969,8,8,-3,-3,2.93,2.74,2.12,2.75,,,,,,,5697H/4D13,ASSS,mckinza01
66,Riley Greene,24,DET,AL,133,131,115,1146.1,290,286,2,2,0,.993,-3,-3,-7,-7,2.26,2.28,2.17,2.25,,,,,,,*7D8/H9,ASMVP-17SS,greenri03
67,Gleyber Torres,28,DET,AL,135,133,117,1146.1,512,197,310,5,75,.990,5,5,-4,-4,3.98,3.99,3.78,3.94,,,,,,,*4D/H,AS,torregl01
68,José Ramírez,32,CLE,AL,134,132,122,1145.2,330,82,235,13,21,.961,-1,-1,0,0,2.49,2.46,2.37,2.43,,,,,,,*5D,ASMVP-3SS,ramirjo01
69,Bo Bichette,27,TOR,AL,132,130,122,1139.0,426,174,240,12,54,.972,-11,-11,-12,-13,3.27,3.73,3.14,3.68,,,,,,,*6/DH,MVP-16,bichebo01
70,Jackson Chourio,21,MIL,NL,129,129,106,1138.2,292,285,5,2,0,.993,-6,-6,-4,-4,2.29,2.26,2.25,2.22,,,,,,,*879/D,,chourja01
71,Jake Cronenworth,31,SDP,NL,131,130,111,1136.1,507,250,247,10,68,.980,-2,-2,-8,-8,3.94,4.40,3.45,4.38,,,,,,,*436/DH,,croneja01
72,Trent Grisham,28,NYY,AL,140,124,121,1133.0,274,267,5,2,1,.993,0,0,-11,-12,2.16,2.28,1.94,2.25,,,,,,,*8/H,,grishtr01
73,Bryce Harper,32,PHI,NL,130,130,122,1132.2,1006,933,71,2,72,.998,-2,-2,-3,-3,7.98,8.23,7.72,8.09,,,,,,,*3/D,,harpebr03
74,Brooks Lee,24,MIN,AL,137,125,101,1132.2,405,151,244,10,40,.975,-6,-7,-16,-17,3.14,3.47,2.52,3.40,,,,,,,654H/D,,leebr02
75,Nolan Schanuel,23,LAA,AL,132,129,123,1131.0,1060,994,60,6,120,.994,-7,-7,-5,-5,8.39,8.04,8.05,7.93,,,,,,,*3,,schanno01
76,Lars Nootbaar,27,STL,NL,131,129,109,1128.0,227,223,3,1,0,.996,-6,-6,1,1,1.80,2.26,1.73,2.22,,,,,,,*798/HD,,nootbla01
77,Miguel Vargas,25,CHW,AL,133,131,115,1127.1,607,437,159,11,41,.982,-16,-16,1,1,4.76,4.84,4.17,4.85,,,,,,,53/DH7,,vargami01
78,Vladimir Guerrero Jr.,26,TOR,AL,133,130,116,1126.2,975,897,69,9,87,.991,0,0,8,9,7.72,8.04,7.26,7.93,,,,,,,*3D/H,ASMVP-13,guerrvl02
79,Adolis García,32,TEX,AL,128,127,120,1124.0,276,268,6,2,1,.993,2,2,16,17,2.19,2.28,2.14,2.25,,,,,,,*9/DH,,garciad02
80,Victor Scott II,24,STL,NL,138,126,107,1118.0,343,333,4,6,3,.983,5,5,12,13,2.71,2.26,2.44,2.22,,,,,,,*8/97,,scottvi01
81,Matt Chapman,32,SFG,NL,128,127,120,1116.1,330,93,224,13,30,.961,-5,-5,5,5,2.56,2.52,2.50,2.48,,,,,,,*5,,chapmma01
82,William Contreras,27,MIL,NL,129,128,113,1113.2,1198,1149,43,6,6,.995,5,5,0,0,9.63,8.93,9.17,8.73,6,30,60,22,26.8,1,*2D/37,,contrwi02
83,Marcus Semien,34,TEX,AL,127,127,118,1108.1,493,183,308,2,67,.996,11,12,5,5,3.99,3.99,3.87,3.94,,,,,,,*4,GG,semiema01
84,Caleb Durbin,25,MIL,NL,134,122,107,1108.0,313,92,214,7,23,.978,6,7,4,4,2.49,2.59,2.13,2.61,,,,,,,*54H/6,ROY-3,durbica01
85,Masyn Winn,23,STL,NL,129,127,118,1107.2,501,163,335,3,64,.994,7,8,2,2,4.05,3.74,3.86,3.68,,,,,,,*6/H,GG,winnma01
86,Teoscar Hernández,32,LAD,NL,133,132,100,1106.0,263,255,6,2,2,.992,-2,-2,1,1,2.12,2.26,1.96,2.22,,,,,,,*9/H,,hernate01
87,Harrison Bader,31,2TM,2LG,142,122,107,1105.2,321,310,7,4,3,.988,1,1,13,14,2.58,2.27,2.23,2.24,,,,,,,*87H/9,,baderha01
87,Harrison Bader,31,MIN,AL,94,79,64,716.2,211,205,5,1,2,.995,5,9,12,20,2.64,2.28,2.23,2.25,,,,,,,78H/9,,baderha01
87,Harrison Bader,31,PHI,NL,48,43,43,389.0,110,105,2,3,1,.973,-5,-14,1,3,2.48,2.26,2.23,2.22,,,,,,,8/H,,baderha01
88,Mike Yastrzemski,34,2TM,2LG,141,125,100,1101.2,244,232,11,1,0,.996,2,3,5,5,1.99,2.27,1.72,2.22,,,,,,,*9H8/7D1,,yastrmi01
88,Mike Yastrzemski,34,SFG,NL,95,85,80,764.1,157,147,9,1,0,.994,-1,-2,5,8,1.84,2.26,1.64,2.21,,,,,,,9/H1,,yastrmi01
88,Mike Yastrzemski,34,KCR,AL,46,40,20,337.1,87,85,2,0,0,1.000,3,12,0,0,2.32,2.28,1.89,2.25,,,,,,,98/7HD,,yastrmi01
89,Isiah Kiner-Falefa,30,2TM,2LG,137,124,117,1100.2,425,144,272,9,40,.979,3,4,5,5,3.40,3.46,2.95,3.41,,,,,,,654/H1,,kineris01
89,Isiah Kiner-Falefa,30,PIT,NL,119,117,114,1026.2,397,137,252,8,37,.980,4,5,5,6,3.41,3.49,3.27,3.43,,,,,,,65/H,,kineris01
89,Isiah Kiner-Falefa,30,TOR,AL,18,7,3,74.0,28,7,20,1,3,.964,-1,-11,0,0,3.28,3.03,1.23,3.32,,,,,,,4/5H16,,kineris01
90,Luis García Jr.,25,WSN,NL,131,125,117,1093.1,563,242,314,7,77,.988,-11,-12,-17,-19,4.58,4.17,4.24,4.11,,,,,,,*4H/3D,,garcilu04
91,Brenton Doyle,27,COL,NL,131,125,119,1090.2,383,375,6,2,2,.995,-4,-4,0,0,3.14,2.26,2.91,2.22,,,,,,,*8/HD,,doylebr02
92,Jazz Chisholm Jr.,27,NYY,AL,130,124,118,1089.0,472,164,290,18,46,.962,2,3,-2,-2,3.75,3.66,3.52,3.60,,,,,,,45/H,ASSS,chishja01
93,Josh Jung,27,TEX,AL,126,122,118,1086.2,314,86,221,7,18,.978,6,7,-3,-3,2.54,2.46,2.44,2.43,,,,,,,*5/DH,,jungjo01
94,Vinnie Pasquantino,27,KCR,AL,126,126,114,1084.1,1032,965,63,4,104,.996,6,7,-2,-2,8.53,8.04,8.16,7.93,,,,,,,*3D,,pasquvi01
95,Xander Bogaerts,32,SDP,NL,125,125,117,1083.1,410,147,255,8,55,.980,8,9,-4,-4,3.34,3.74,3.22,3.68,,,,,,,*6/DH,,bogaexa01
96,Spencer Steer,27,CIN,NL,129,121,112,1082.2,882,804,76,2,70,.998,2,2,4,4,7.32,7.83,6.62,7.60,,,,,,,*3D7/H9,,steersp01
97,Josh Naylor,28,2TM,2LG,129,124,116,1081.0,996,915,76,5,80,.995,4,4,-1,-1,8.25,8.15,7.68,8.02,,,,,,,*3D/H,,naylojo01
97,Josh Naylor,28,ARI,NL,76,73,70,639.1,602,558,40,4,52,.993,1,2,-6,-11,8.42,8.23,7.87,8.09,,,,,,,3D/H,,naylojo01
97,Josh Naylor,28,SEA,AL,53,51,46,441.2,394,357,36,1,28,.997,3,7,5,14,8.01,8.04,7.42,7.93,,,,,,,3/DH,,naylojo01
98,Alek Thomas,25,ARI,NL,139,121,108,1080.1,331,325,3,3,0,.991,1,1,-7,-8,2.73,2.26,2.36,2.22,,,,,,,*8/HD,,thomaal01
99,Cam Smith,22,HOU,AL,132,122,104,1079.1,258,250,6,2,0,.992,14,15,12,13,2.13,2.28,1.94,2.25,,,,,,,*9H/D,ROY-10,smithca07
100,Zach Neto,24,LAA,AL,125,122,118,1078.1,515,175,329,11,86,.979,0,0,13,14,4.21,3.73,4.03,3.68,,,,,,,*6/H,,netoza01
101,Luis Arraez,28,SDP,NL,123,122,110,1075.2,826,749,76,1,80,.999,0,0,1,1,6.90,7.92,6.30,7.66,,,,,,,*3D4/H,,arraelu01
102,Cal Raleigh,28,SEA,AL,121,119,116,1072.0,1106,1060,42,4,3,.996,-2,-2,2,2,9.25,9.13,9.11,9.00,0,39,78,21,21.2,0,*2D/H,ASMVP-2SS,raleica01
103,Nick Allen,26,ATL,NL,135,126,87,1070.2,430,158,266,6,49,.986,2,2,12,13,3.56,3.75,3.14,3.69,,,,,,,*6/4H,,allenni02
104,Lenyn Sosa,25,CHW,AL,127,122,102,1070.2,584,354,218,12,74,.979,-2,-2,-10,-11,4.81,5.13,3.97,5.07,,,,,,,43D/H5,,sosale01
105,Gabriel Arias,25,CLE,AL,129,124,99,1070.1,473,173,286,14,59,.970,2,2,3,3,3.86,3.73,3.23,3.66,,,,,,,64/5H,,ariasga01
106,James Wood,22,WSN,NL,123,123,116,1067.1,239,231,5,3,0,.987,5,6,1,1,1.99,2.26,1.92,2.22,,,,,,,*7D/H,AS,woodja03
107,Cedric Mullins,30,2TM,2LG,130,120,115,1064.1,316,311,2,3,0,.991,-9,-10,-14,-16,2.65,2.27,2.41,2.24,,,,,,,*8/HD,,mullice01
107,Cedric Mullins,30,BAL,AL,88,86,84,754.1,221,218,0,3,0,.986,-13,-20,-15,-24,2.60,2.28,2.48,2.25,,,,,,,8/DH,,mullice01
107,Cedric Mullins,30,NYM,NL,42,34,31,310.0,95,93,2,0,0,1.000,4,14,1,4,2.76,2.26,2.26,2.22,,,,,,,8/H,,mullice01
108,Jeremy Peña,27,HOU,AL,124,120,114,1061.2,432,149,274,9,51,.979,9,10,5,6,3.59,3.73,3.41,3.68,,,,,,,*6/HD,ASMVP-10,penaje02
109,Oneil Cruz,26,PIT,NL,125,120,112,1061.1,319,302,6,11,2,.966,-8,-9,-14,-16,2.61,2.26,2.46,2.22,,,,,,,*8H/D,,cruzon01
110,Angel Martínez,23,CLE,AL,136,113,90,1057.2,342,272,60,10,14,.971,-11,-13,-10,-11,2.83,2.65,2.20,2.66,,,,,,,*84H/97,,martian02
111,Alec Bohm,28,PHI,NL,120,120,116,1057.1,369,150,214,5,23,.986,5,6,-2,-2,3.10,3.14,3.01,3.08,,,,,,,53,,bohmal01
112,Jacob Wilson,23,ATH,AL,124,124,109,1053.2,386,139,239,8,46,.979,-9,-10,-10,-11,3.23,3.73,3.05,3.68,,,,,,,*6/D,ASMVP-18ROY-2,wilsoja05
113,Brandon Lowe,30,TBR,AL,123,119,108,1034.1,514,203,303,8,90,.984,-9,-10,-14,-16,4.40,4.06,4.08,4.04,,,,,,,*4/DH3,AS,lowebr01
114,Josh Smith,27,TEX,AL,130,116,93,1033.1,448,267,175,6,52,.987,-2,-2,-4,-5,3.85,4.16,3.16,4.05,,,,,,,653HD/7948,,smithjo11
115,Kyle Isbel,28,KCR,AL,135,118,95,1032.0,333,329,3,1,2,.997,13,15,9,10,2.90,2.28,2.46,2.25,,,,,,,*8/H,,isbelky01
116,Patrick Bailey,26,SFG,NL,132,114,109,1029.2,1077,1013,57,7,9,.994,5,6,19,22,9.35,8.94,8.11,8.79,8,27,61,27,30.7,1,*2H/D,GG,bailepa01
117,Paul Goldschmidt,37,NYY,AL,139,113,99,1029.1,929,840,84,5,73,.995,-2,-3,-1,-1,8.08,8.04,6.60,7.89,,,,,,,*3H/D8,,goldspa01
118,Addison Barger,25,TOR,AL,133,116,73,1026.1,275,143,123,9,13,.967,3,3,-3,-4,2.33,2.39,1.80,2.36,,,,,,,59H/D,,bargead01
119,Javier Báez,32,DET,AL,125,116,86,1022.1,348,182,158,8,31,.977,12,14,3,4,2.99,2.98,2.30,2.99,,,,,,,6854/H,AS,baezja01
120,Chase Meidroth,23,CHW,AL,121,116,97,1019.1,428,167,249,12,64,.972,-4,-4,-3,-4,3.67,3.84,3.04,3.80,,,,,,,64/H,,meidrch01
121,Matt Shaw,23,CHC,NL,125,114,104,1016.0,302,81,214,7,18,.977,3,3,11,13,2.61,2.53,2.30,2.53,,,,,,,*5/H4,ROY-9,shawma01
122,Salvador Perez,35,KCR,AL,118,117,98,1013.1,932,884,47,1,12,.999,8,10,-18,-21,8.27,8.86,7.63,8.74,2,38,18,14,43.8,0,2D3,,perezsa02
123,Willson Contreras,33,STL,NL,120,119,101,1011.2,1053,960,84,9,78,.991,3,4,-1,-1,9.29,8.23,8.70,8.09,,,,,,,*3D,,contrwi01
124,Dillon Dingler,26,DET,AL,118,113,111,1011.2,1069,1023,39,7,5,.993,7,8,6,7,9.45,9.13,9.00,9.00,0,31,56,26,31.7,2,*2/HD,GG,dingldi01
125,Michael Conforto,32,LAD,NL,132,122,67,1010.0,202,193,5,4,1,.980,2,3,-5,-6,1.76,2.26,1.50,2.22,,,,,,,*7H,,confomi01
126,Max Kepler,32,PHI,NL,125,112,90,1008.1,211,208,2,1,0,.995,4,4,1,1,1.87,2.26,1.68,2.22,,,,,,,*79H/8,,keplema01
127,Lourdes Gurriel Jr.,31,ARI,NL,118,114,104,1006.1,220,211,6,3,1,.986,-3,-4,-3,-4,1.94,2.26,1.84,2.22,,,,,,,*7D/H,,gurrilo01
128,Bryan Reynolds,30,PIT,NL,117,117,107,1004.0,250,244,4,2,0,.992,16,19,1,1,2.22,2.26,2.12,2.22,,,,,,,*9D/H,,reynobr01
129,Brendan Donovan,28,STL,NL,117,114,97,1002.0,465,177,284,4,50,.991,-2,-3,-4,-5,4.14,3.81,3.72,3.77,,,,,,,47/6DH,AS,donovbr01
130,Kyle Tucker,28,CHC,NL,115,115,109,1001.2,261,253,5,3,0,.989,6,8,-1,-1,2.32,2.26,2.24,2.22,,,,,,,*9D/H,ASSS,tuckeky01
131,Jackson Merrill,22,SDP,NL,114,114,110,1001.1,294,284,9,1,1,.997,-2,-2,0,0,2.63,2.26,2.57,2.22,,,,,,,*8/H,,merrija01
132,Austin Wells,25,NYY,AL,122,112,103,1001.0,1040,1001,36,3,5,.997,5,6,-7,-8,9.32,9.13,8.50,9.00,5,35,65,22,25.3,1,*2/HD,,wellsau01
